Taxa	trait1	trait2	trait3	trait4	trait5	trait6
4_1	-0.022942757	-4.852423343	-0.810471472	-1041.908774	14.68484515	189.7811933
4_3	-0.029656874	1.621151003	-2.567064894	-1351.881935	6.437294989	165.8299578
4_4	-0.006625214	-0.182404986	4.909930597	1433.886757	-4.140820387	25.04122672
4_5	-0.00946241	-4.293444937	0.748769966	2511.450793	-9.444205897	-9.252610242
4_6	-0.033381814	-8.998401326	8.872265631	1072.223572	6.520046186	-220.4400839
4_7	-0.006653206	-7.226800832	-3.083625946	-1421.742443	-10.71938483	-156.0200014
4_8	-0.015041478	-2.622651792	7.403863816	2579.233275	-0.486530858	-91.9951414
4_9	0.029788253	-4.281733632	1.695610889	752.7891501	5.431415056	193.1130316
4_11	-0.022402281	-1.117467007	1.818183107	-258.511349	5.878539013	-222.662452
4_12	-0.005686644	2.171762646	1.011215575	-1002.286086	1.429081769	-185.0691295
4_13	-0.011902223	3.213653068	3.015361816	-284.2791476	11.55651396	-235.331243
4_14	-0.02043308	0.059967403	-1.486139602	942.4142341	-4.180279143	-232.7411938
4_15	0.01008842	-0.8482418	8.724014563	-115.3975321	13.15564837	-51.01940381
4_16	-0.01968565	0.796417856	6.966842382	1832.903751	8.105347805	145.2665845
4_17	0.005229425	0.873632231	4.711154772	-1882.884636	-7.764375395	56.21394108
4_18	0.014465544	-0.781291716	20.37659332	-1280.507409	-3.220409031	129.7154969
4_19	-0.012079901	-3.834810867	-1.469555242	-1731.595901	-2.683188735	-98.90142272
4_20	-0.021013438	-0.808247826	13.03901959	-1484.292628	1.880480442	-23.47684836
4_21	0.010318672	-2.468647188	0.438904251	-1231.860805	-3.636663615	-118.9572835
4_22	-0.016326866	-3.436299971	0.022050178	-1225.907603	-9.252220102	-167.3411629
4_23	0.011506683	4.577172125	-2.349798549	-1836.532101	-12.75561649	-198.0894073
4_24	-0.013690322	3.683875378	-2.644884242	-804.5268651	-12.97832478	-231.3169106
4_25	-0.0166074	-5.372687536	-1.371242423	-1462.016657	-9.667847958	29.96359186
4_26	0.01162469	-6.9166815	-0.219271898	-1839.547298	-3.187847158	169.9560781
20_1	0.003684674	-3.095790329	-5.652884691	1487.378841	-6.508041633	58.89670215
20_2	0.015048733	-1.238632937	-3.028931987	-145.9482225	4.134232169	-19.95470436
20_3	0.008188289	3.349718789	-8.047598812	1457.318792	16.46301651	2.09977092
20_4	-0.013176878	-6.75027143	-4.41036002	-1340.30347	2.298985786	107.8366097
20_5	0.002208178	2.085758042	-2.219091108	7560.945744	-5.475322202	1.926903611
20_6	-0.003873454	5.568918946	6.289820493	-1750.540527	15.78465316	109.7587518
20_7	-0.013776274	2.564405472	-3.800204041	844.2453557	1.557870519	19.56016604
20_8	-0.010282941	1.435577729	-5.808328473	-934.247102	-4.602938066	26.33129538
20_9	-0.004544037	-0.262584329	-3.902886678	754.5625879	10.56802374	75.94337231
20_10	-0.000111329	0.071879952	-2.765775772	1278.500285	1.143538657	68.00071975
20_11	0.007115526	0.245762725	5.071297832	-1504.270382	7.492121815	17.79291885
20_12	0.000760022	2.163634816	-3.295191905	130.3261097	9.161178169	117.0149338
20_13	-0.003850101	0.658794707	-3.851456146	5168.639184	-5.206703696	142.2603815
20_14	-0.014384249	-2.720038931	-4.983203302	-1943.387896	0.114087754	101.7570265
20_15	0.005508684	-2.196945477	-1.840674018	-417.2425644	-2.613807682	299.3646512
20_16	0.001357861	-1.789392902	0.358964494	1273.61449	6.769690585	49.50478276
20_17	-0.005197365	4.001038452	-3.557207626	-418.2349573	-4.291892293	87.68637774
20_18	0.017138078	1.337758546	-2.538127867	1715.177221	17.46602553	26.35046482
20_19	-0.009775463	-2.170957849	-7.544170224	2655.857753	4.237399009	52.13947713
20_20	0.017823325	-2.658490054	-2.897230527	-923.7452258	-2.363961647	-32.42909189
20_21	-0.00881281	-0.772833711	-5.664383157	1488.572289	13.86464045	149.9924314
20_22	-0.012870194	-0.291550121	3.387741571	59.19087645	8.854035189	30.49996061
20_23	-0.005702295	-1.563842275	-4.602306763	-277.5772301	-6.173061711	97.86512432
20_24	-0.004092025	-2.635791499	0.480721712	2803.758129	17.00168583	-16.53772181
20_25	0.008246804	-1.214058717	-3.702677479	419.8706839	2.885516081	102.5482919
20_26	-0.003968903	-0.5326437	-0.276255983	1435.963535	7.089004754	-32.69111631
20_27	0.008160604	-3.198410128	-3.63260278	-1473.200298	12.41476991	181.1772904
20_29	0.008160604	2.173494796	-3.410693107	150.9290115	14.59475269	90.47393576
20_30	-0.00268226	2.449269952	-4.105162282	1850.878666	1.699132251	81.11681252
20_31	-0.0070253	1.090761381	2.266699036	-632.2785419	8.554560968	-19.12024883
25_1	0.00173396	2.492231336	4.394397086	-566.2368166	8.420915101	59.05291797
25_2	0.002267	0.312231467	1.234466489	1038.070952	4.618566459	-8.093515102
25_3	0.004860929	1.447224741	5.996880969	297.2494615	4.532825004	-13.71080924
25_4	0.000348517	-1.193158585	-0.708077949	380.5381901	10.61527449	23.37526249
25_5	0.002508177	1.27015418	4.768948079	711.595523	-1.484955996	32.62740601
25_6	0.015048128	6.014396689	0.83534274	511.2149273	6.997467069	1.591067903
25_7	0.026321561	-0.416591341	3.506882116	-85.36658654	7.635729708	40.94516901
25_8	0.025814863	2.080614849	-0.701569188	-272.1386709	7.663473379	-10.66237651
25_9	-0.000235967	3.093110128	6.15866423	-330.7482772	-1.633106384	-81.71751764
25_10	0.002204005	2.322708045	0.663118089	361.1949453	9.442022888	-35.08597391
25_11	0.000504491	1.608491989	1.248193674	310.1160265	3.65423685	-26.17821333
25_12	-0.008779953	-4.392904142	4.766598766	-35.93130853	-0.912868956	17.26114914
25_13	-0.003813376	-0.359971468	-4.357844927	-1079.50472	5.542232457	-3.730735099
25_14	-0.000331474	1.941404055	1.246818423	458.4233454	2.527124754	-77.94672942
25_15	0.002766569	-0.699099732	7.41332703	1308.483743	4.006968546	-23.23833327
25_16	0.001785335	3.389795363	3.27913169	272.2773025	6.156770098	-24.74647853
25_17	0.017578864	-2.09708929	1.465600016	-45.29252875	11.19870836	-2.057428643
25_18	0.009499656	-2.509286335	3.061629231	-90.56652392	6.026089727	-78.60054825
25_19	0.001353566	-0.441334398	1.03899061	-540.2107716	-4.278720772	-5.773306448
25_20	0.015359407	-4.329920044	0.016380176	953.7160538	6.382060006	-99.63119385
25_21	-0.020370286	-1.704631257	6.029992714	-385.252004	-0.35822714	-26.16854161
25_22	0.015249854	-1.160066711	0.251234565	365.9194332	2.051076243	69.46802221
25_23	-0.008510785	2.429530939	-1.127054156	-184.1371477	3.246301201	-100.7434882
25_24	-0.008865717	-0.951645949	5.8513554	1936.419108	3.526210441	-16.95934541
25_25	-0.007103572	-2.404205117	0.800074012	944.4650604	15.69694697	-5.860853892
25_26	0.017248943	-1.789973464	2.472741085	1185.578947	0.384232319	-21.8930643
25_27	-0.012198522	-4.012934713	8.703026348	501.0817069	1.976857463	-45.4160423
25_28	0.007820715	-0.626577394	4.233473006	506.5967135	-6.807996496	-2.806351658
25_29	0.004867776	1.236481744	8.785496303	456.1387857	-0.372358034	44.25333541
25_30	-0.007247914	1.682351224	3.006998012	655.91571	4.791251977	-139.7344656
25_31	-0.002548242	-0.647988752	-2.82039144	-403.6317269	-0.974739142	-31.79913995
25_32	0.004845753	-1.621843527	4.970341614	380.4297411	-1.656601571	-77.19137953
25_33	-0.002301299	-5.985674939	4.146556268	187.3761298	6.799821999	-8.713574655
25_34	-0.001696278	-3.158932101	2.604737734	371.4123635	8.04453214	-15.9481209
25_35	-0.012947806	-5.099161012	0.043479027	-134.3243763	10.55113511	-33.33252852
16_1	0.028848881	1.97731988	-4.378448303	-1535.707729	9.292577126	167.2668215
16_2	0.024813411	3.208246002	-2.950043736	5915.076516	-6.482638867	5.827012503
16_3	-0.006634495	-0.962926287	-6.94445014	-1769.555735	1.470088032	177.005694
16_4	0.002445066	-1.121801358	-2.608619136	3472.016229	7.769619093	94.07349514
16_5	0.030434963	4.999774648	-3.784575108	-1928.613954	21.22110638	177.9272112
16_6	-0.003263067	5.776799697	7.286596713	-359.6643625	-4.798408933	30.38922153
16_7	0.014353738	5.196620992	-3.985883859	4096.511021	5.715697627	95.13398352
16_8	0.031838893	2.675507007	-1.888398933	-1486.849957	2.25638427	232.1190145
16_9	0.00772326	4.962448965	-5.296437095	5402.096727	6.313172113	158.227943
16_10	-0.017165123	2.603906885	-2.748897159	-1575.818731	-4.154490483	62.58635743
16_11	-0.000682473	2.552663761	6.443084432	-1272.666822	19.2090306	241.4836607
16_12	0.017601895	3.980317784	-4.603540074	5942.337985	2.247710997	110.0045443
16_13	0.046249524	3.411190102	-2.264042837	-1554.805016	6.330286343	87.17466019
16_14	0.00648218	5.700823915	0.357984645	758.1649539	6.516225953	10.89911113
16_15	0.011911462	1.794143616	-3.584004741	4808.508622	-2.248757233	212.2386394
16_16	-0.002979815	1.769422511	-4.439822152	-1635.941729	18.31325291	83.60334785
16_17	-0.013244833	4.595597385	3.315128482	2413.178967	-0.085940538	171.9704423
16_18	0.024621305	3.218487892	-3.276758823	2803.735864	7.934753124	44.91604995
16_19	0.022702302	0.996541596	-4.984159822	-1704.821389	-4.487531514	131.2290796
16_20	0.008775617	3.023713612	-2.113343453	6214.328167	15.87861273	-36.46398752
16_21	0.018560968	4.957642624	6.153270861	-1437.992421	1.982692694	198.3439838
16_22	0.013724214	4.009326718	-4.445012947	3227.922933	6.664576903	109.8729117
16_23	0.01520477	0.23056757	-1.805766477	-1548.864748	-3.902631242	234.5039594
16_24	0.027806669	0.365251911	-0.1708254	323.8307455	18.64996604	152.4613855
16_25	-0.012219749	-0.011173556	-3.778616048	2655.857767	0.132532732	-116.2752217
16_26	0.008168852	6.357669089	6.206913584	-1573.378267	7.203714044	212.0019599
16_27	0.015033634	6.975890183	-2.785745117	6148.135292	11.09104971	78.18239277
16_28	0.00750915	3.933350936	-4.367315603	-1769.711435	4.51749419	251.4336144
16_29	0.020896323	4.731787341	-6.311871301	999.6183595	9.215817528	-105.6705187
16_30	0.004447267	2.584540252	-1.975036569	8485.59038	-2.946730038	149.1164575
16_31	-0.005982741	-4.563885411	4.400862651	-2153.004617	15.49006642	210.2399456
16_32	-0.011141541	-2.253149831	-4.053973073	4660.22926	4.240539693	62.58615387
11_1	0.031053759	1.223087567	-2.621787724	-1205.814286	21.03762445	248.2140573
11_2	-0.010350471	0.614702822	-6.279353449	2211.306242	10.67051866	-82.1978606
11_3	-0.006210871	-0.548737854	-1.938775031	592.1606765	0.44080167	83.02875801
11_4	-0.002711459	2.803991633	-8.552232506	2186.951566	7.717238031	186.6693236
11_5	-0.01749822	-1.530463492	-4.506294997	-1248.467612	12.11230987	52.0888714
11_6	-0.015574449	2.389472354	-3.300354965	5018.332367	1.997741083	204.9506986
11_7	-0.020929204	3.628966286	6.235426516	-436.1870649	2.768560118	-72.52485802
11_8	-0.019480782	1.160428488	-5.949284945	2243.91572	7.7881247	162.6882685
11_9	-0.028512469	-1.834676523	-1.413585546	193.7939335	3.369078737	165.7564211
11_10	0.015769264	0.42465116	-3.411203683	1986.953432	-1.276298476	49.05332056
11_11	0.004225401	1.971794367	-4.7313392	1718.220285	15.01899397	150.3147092
11_12	0.001373712	0.8684072	-4.673602878	-1364.436037	-0.94431216	225.7862822
11_13	0.002496191	-1.825613381	5.429617735	650.5209743	2.352144281	-88.04441146
11_14	-0.00706043	1.950383013	-5.625166673	-564.2121023	4.059488961	152.4285159
11_15	0.002486682	2.833019596	-2.538571966	-818.3598649	8.329890602	194.2568844
11_16	-0.003929961	4.464391	-0.016735648	1084.322365	-2.401989947	97.9556968
11_17	-0.00179585	1.308732991	-3.295191905	1374.276778	8.083507133	262.8813138
11_18	-0.021325984	3.162258369	-5.93070174	2450.954681	3.599682724	-86.29742374
11_19	0.000168364	3.221941338	2.883749608	2101.927652	6.253683355	171.3846333
11_20	-0.019567809	0.237919888	-3.861949649	-424.1132016	2.677358838	187.9595568
11_21	0.007757311	3.538399047	-4.716048663	2227.642618	15.27711017	83.75487631
11_22	-0.001980224	1.077408517	-2.049033293	1292.330661	5.157831514	206.4325709
11_23	0.004342497	-2.043871084	6.323290092	3271.66349	6.307591306	-79.34205589
11_24	0.007217941	4.880285462	-4.680700098	1467.352677	-3.705682351	117.7561961
11_25	0.009253895	-1.292434213	-1.856470807	2262.383595	13.20449268	198.0446567
11_26	0.002118652	3.438542861	-0.241491853	-161.0744059	2.930185657	46.25512236
11_27	-0.025177404	3.286436346	-5.773157458	2109.024252	13.96973979	112.9291543
11_28	-0.01435471	-0.614921605	4.411108948	2205.380818	19.80360241	190.5545907
11_29	-0.022893613	-0.490101374	-3.209456418	592.2016419	0.236193018	-55.62068618
11_30	-0.007179658	1.811815929	-3.384827708	1915.124627	1.979971658	173.3215332
11_31	-0.003561616	0.37899578	-6.214564633	2838.231254	2.223491994	233.1258504
28_1	0.005088684	-0.077904326	17.71983868	2688.585368	13.50556278	224.6337657
28_2	0.005773393	8.535411292	-0.758833681	-609.8656024	-2.090393733	-144.3127384
28_3	0.024084155	4.340209819	6.054964571	-739.898314	-10.00350077	58.12678104
28_4	0.004310271	5.316110179	-2.38724005	-1225.256527	-10.06862761	-210.8499344
28_5	0.005501294	3.094851804	10.28856409	534.1836488	9.396734655	97.30195392
28_6	0.019234269	0.621497506	2.181322016	4234.718336	-7.354261407	24.64386118
28_7	0.003736742	-0.095901661	-3.400771978	-974.7882134	-1.78362236	48.57456787
28_8	-0.019745828	-2.902905485	-0.508010142	1033.155622	17.07152066	122.115295
28_9	0.003820836	1.42822218	-2.348593718	-823.588848	-11.65039671	-164.7594459
28_10	-0.018860397	-4.134271588	-0.056262923	1605.879926	-2.686277782	168.5206242
28_11	0.002593528	-1.657025404	4.901925545	967.3866775	0.702177824	89.31037882
28_12	-0.000371605	-1.177747162	-0.506244229	541.5495795	-1.408172381	-5.978355211
28_13	0.006922727	1.622996459	5.424873337	-1049.463453	-9.344392689	-13.16758017
28_14	0.014320249	1.638191614	-2.481773332	-364.804392	-11.45400084	-193.3992336
28_15	-0.003341041	3.509136987	-0.935151669	-1119.5139	-2.229336367	3.053227059
28_16	0.002443838	4.475541748	-2.041934994	-1497.630576	-9.08395764	-59.65556088
28_17	0.002340678	1.261766145	5.366534706	-1015.07374	-12.93058621	-105.8603021
28_18	-0.005280495	0.87083621	-4.095417483	-1713.771587	-1.062816236	-202.7427684
28_19	0.022236742	3.442961793	11.31850789	-1049.463852	-9.057745397	-119.7082478
28_20	-0.002884541	-0.02398803	-1.040988469	-1024.438869	-8.091682606	-158.9224325
28_21	0.002554914	2.220188249	0.054885499	-332.084119	-2.481376275	-145.2044288
28_22	-0.009063944	-0.178341072	-5.313391867	-2264.574937	-5.928507421	87.11829643
28_23	-0.004963476	-3.142676443	0.991272839	-728.926974	15.473249	159.8452747
28_24	0.02007708	2.318520212	-2.566388151	-979.5503976	6.292290858	-104.4511155
28_25	0.001198395	2.143775913	2.016746138	-1455.612968	11.13562215	106.8682891
28_26	-0.007620683	-1.62161129	0.868836886	606.927365	-5.097292862	157.1689556
28_27	0.014908515	4.834699995	17.01228346	-981.1307136	-8.783718554	-170.7680032
28_28	0.011005059	3.663291563	2.03970904	-1276.617884	-0.637571	-166.5135479
28_29	0.01370322	7.55325163	-2.20661322	552.5185448	-8.950155141	-208.2380224
28_30	0.008060055	6.643614306	-5.137073098	810.7616932	-2.996901539	-34.96206367
21_1	0.011760249	9.081746238	-2.832673399	-874.7328284	-0.255619777	-177.6103104
21_2	0.009844746	2.905605805	-4.324872806	-1530.254066	-3.786857382	-229.7590731
21_3	0.011914183	4.968002955	-3.395180904	-775.4462164	2.914030571	-137.4687548
21_4	-0.030374776	3.560320947	-1.8595754	-1758.237826	-8.328635224	-113.466457
21_6	0.005353674	4.2156587	-1.456714276	-1224.950887	0.333061346	-208.4758863
21_7	0.02528945	6.439861071	-2.774378164	-1629.251304	-11.29435176	-224.8617498
21_8	0.002123509	0.316212996	-4.113807967	-1029.823029	-12.96701747	-213.0848432
21_9	0.009171214	5.923916439	-4.121731411	-1165.013318	-9.362253129	-198.9406048
21_10	0.016491073	1.873025851	-2.237953726	-1308.07947	-10.35420042	-202.000745
21_11	0.00706538	0.416362893	-2.925940629	-1286.951809	-3.389241803	-207.6337426
21_12	0.0260503	6.591812636	-4.264731913	-1389.108673	-9.255779289	-175.2496502
21_13	0.003729674	-0.753664159	-1.56016178	-1200.416765	0.912628653	-41.83802533
21_14	0.001817811	4.980435359	-1.926685224	-1550.319497	-9.442190366	-109.8830816
21_15	0.009398712	-1.174984407	-3.566683948	-1365.115833	0.679670682	-192.0453604
21_16	-0.029384128	4.006329777	-2.803108702	-1260.649657	-10.42866708	-215.754056
21_17	0.006359059	2.206628606	5.157907051	-1226.486024	5.274307625	-196.4100656
21_18	0.024709695	1.458612491	-4.829690587	-1388.285257	-8.744551557	-207.1155472
21_19	0.004805066	-1.759784385	-3.298686634	-1318.114165	-4.639902584	-96.57323938
21_20	-0.025394633	1.680028988	-2.650000458	-1227.425766	-7.328655322	-230.0406086
21_21	0.007415554	3.478186931	-2.376913028	-1271.651641	-13.8934291	-189.0670046
21_22	0.007874581	-0.19627819	-3.867589599	-1431.098574	-4.266167983	-213.2637595
21_23	-0.006967317	3.57557407	-3.532844234	-1324.77399	-12.68196283	-165.8473307
21_24	0.041938806	-1.012672509	-3.22817882	-1292.39525	-7.168063036	-175.5784218
21_25	0.0322971	4.033500833	-4.761333162	-1222.254525	-7.487607621	-186.5728472
21_26	0.011534382	4.349836364	-4.421010111	-1304.096377	-11.56018537	-196.0273142
5_1	-0.016260183	-0.795796181	5.011332336	928.5307118	0.3618659	135.1708852
5_2	-0.027350532	-3.886629156	-3.988643487	942.9784245	3.354392316	36.69135606
5_3	-0.029838468	-2.866910813	1.51486186	534.3334603	-0.488803178	129.4131653
5_4	-0.025300203	-1.593541901	-2.417763052	87.25871364	-1.303285735	21.58121516
5_5	-0.01151967	-2.739768344	3.051338054	512.5015471	-4.941651897	55.22658161
5_6	-0.037909589	-4.570852121	0.42244666	2737.29743	-3.593492678	296.6069957
5_7	-0.042122084	-6.417030437	1.616673482	631.6890785	-10.86857294	228.2755295
5_8	-0.025310582	-9.532891766	-0.183429405	647.8420556	-3.155038131	13.57724002
5_9	-0.042796837	-4.807720284	5.074454401	-415.0797484	-6.4063254	43.46548284
5_10	-0.034993558	0.511943839	6.89560081	-771.2438214	4.925268313	-77.11666761
5_11	-0.043907462	0.130516432	-1.397235964	-268.5277362	1.682642747	-100.8402389
5_12	-0.034837909	0.133999788	8.377518338	178.9363309	5.11211838	53.66932875
5_13	-0.020895484	-1.262011213	7.486774082	-228.7662468	-2.894238271	-109.5516282
5_14	-0.022073883	-5.14644577	9.308122173	304.4081025	-1.06233035	111.7500706
5_15	-0.012548067	-3.819632331	7.277780909	596.865998	12.78716526	-7.568789695
5_16	-0.016164072	-1.21928375	0.545533436	677.2703742	-7.109215331	-26.7101819
5_17	-0.028487448	-1.914213136	1.524337701	509.9826214	-1.526495154	-63.78845979
5_18	-0.00858713	-3.087502063	1.307534275	-903.0047818	-4.734594062	-9.361350567
5_19	-0.031404713	4.495741198	-2.733190991	198.2044331	-3.839834444	169.6835099
5_20	0.011662797	1.653386771	4.910083234	533.5332819	2.598364516	73.55344425
5_21	-0.024470008	-3.749360826	2.923543381	81.01271004	-2.213387584	150.2788131
5_22	-0.031934206	-3.220471379	-2.542770499	2863.168383	10.38115639	118.9340397
5_23	-0.013108578	-0.504325453	-4.40357559	1269.267915	3.611187131	-70.42359857
5_24	-0.028136022	-5.573982218	1.358927226	-211.4527249	-1.032666473	11.24793977
5_25	-0.004039361	-11.72042303	-1.732940429	283.5171062	2.284225888	52.29873402
5_26	-0.005981858	-14.15993633	0.302113855	-489.8201804	0.99082727	81.39577254
5_27	-0.021168463	-4.091556803	3.198019986	251.7108819	-11.94567574	159.3499053
5_28	-0.00583068	-2.764259639	-1.499899878	22.39850252	1.198244468	60.77489256
5_29	-0.018344588	-2.890655716	0.767426248	-518.9089197	5.21898705	-60.00734142
5_30	0.001161092	-0.790270672	0.982187136	40.92485953	0.03505278	166.0041714
5_31	0.000847538	-0.317148754	1.897590485	301.1589406	3.857292408	-24.36775281
5_32	-0.00537985	-1.288071114	5.943716001	-78.13819263	15.24203576	-22.30935931
5_33	-0.023385476	1.202228751	0.967362701	252.8891858	-4.161361929	192.4115947
5_34	-0.028389089	1.220806645	4.774959087	201.4708604	0.26110126	-102.9568228
1_1	0.003488539	0.15321041	-4.217446042	-1044.159317	-7.943582251	-127.0301258
1_2	0.019744139	-3.794750909	-4.157376635	-1298.977425	0.34839906	-216.3970348
1_3	0.026328165	-5.290109068	-4.998129831	-1415.458331	-9.671982777	-195.332649
1_6	0.010179262	-6.181557412	-5.143114265	-1060.068738	-5.563167238	-176.1602481
1_7	0.049328156	1.520083807	-6.562331171	-1542.917345	-2.345288399	-225.1279601
1_11	-0.006283858	0.963698491	-5.442173087	-778.022318	-2.486721319	-147.2944808
1_12	-0.013260185	2.245053901	-5.099736081	-1220.646444	-11.32408357	-193.6146013
1_13	0.030413771	2.105097333	-4.386805342	-1330.932248	-2.499694939	-193.0076147
1_15	0.013257664	5.811462844	-3.681493142	-1197.54425	-5.01676902	-196.6710639
1_16	0.013988037	7.37229113	-5.609355725	-1442.434375	-5.972866327	-192.236663
1_17	0.005835024	3.08932906	-4.69582252	-941.9728211	-10.55469834	-205.0111266
1_18	0.002122115	2.795786264	-4.996859859	-1047.532227	-4.99333333	-193.353259
1_21	0.008100579	0.435060198	-6.005977255	-843.6029751	-6.621006666	-190.6033584
1_22	0.011352652	2.258430274	-3.97495615	-1757.510132	-17.03693432	-172.0306166
1_31	0.002306805	-5.594755141	-2.386861628	-1269.658499	-4.814424244	-163.6927431
3_1	0.018214544	-6.045722759	-4.82592611	-1279.301131	-9.117039322	-119.9088384
3_2	-0.001582447	-0.917357437	-4.896420479	-1252.823887	-12.4084534	-149.7853337
3_3	0.014024888	-2.427427487	-4.110880391	-1505.735516	-13.13945053	-229.0703494
3_4	0.006216319	-4.198133103	-4.609953277	-1690.674831	-3.12211793	-204.2252533
3_5	-0.002512832	-1.868436095	-5.406375112	-1481.385455	-12.12280246	-204.1617344
3_6	0.004191615	-0.851051298	-4.343570238	-1349.713293	-17.13733804	-173.0417664
3_7	-0.007453256	-1.492701318	-3.280037182	-691.7426842	-2.468826489	-171.0174774
3_8	-0.005921647	-0.54208596	-5.589167685	-820.5849753	-8.11763925	-232.1653394
3_9	0.02005265	3.570508519	-5.037009856	-1595.929331	-10.14897203	-115.0777134
3_10	-0.000389923	2.090772687	-5.919671611	-1028.329299	-1.152104613	-183.8136145
3_11	-0.020526234	-0.040165872	-4.889483073	-1388.711036	-7.678188556	-138.232043
3_12	-0.002577143	-3.592029278	-3.94883909	-1391.024928	-12.51427587	-223.7859367
3_13	-0.007678189	0.017887945	-5.671649557	-1483.944583	-13.54036924	-186.7120543
3_14	-0.01228978	1.570504099	-4.279280953	-1250.737557	-3.806926595	-219.4665986
3_15	-0.009458034	-7.902985296	-4.579453221	-1079.476885	-11.41468749	-182.0939264
3_16	-0.000297524	-4.069248958	-3.369392559	-340.1824354	-8.225749407	-152.6712072
3_18	0.006814265	-2.759028033	-0.136357034	906.7579486	-9.341067752	-186.1264062
3_19	0.0374507	2.012545014	-6.615853309	-1436.264551	-14.81044167	-203.4618755
3_20	-0.024893243	-2.990788993	-3.234887875	-1178.550248	-8.298222521	-197.8651893
3_21	-0.019846275	0.988002398	-5.688031036	-1822.955945	-3.924461754	-192.4434187
3_22	0.003723946	0.429504429	-4.938880927	-1285.833747	-13.02223818	-190.5602163
3_23	0.010411458	-2.293900477	-4.933776781	-979.1999186	-10.83358813	-76.80352448
3_24	-0.009799403	-1.541049541	-2.952172517	-606.3573684	-8.365795845	-133.7916913
3_25	0.014295764	1.195186419	-6.091978065	-1548.079858	-12.60499151	-210.1401789
3_26	0.019123721	4.822958282	-6.057314773	-1472.13835	-7.531666099	-209.029541
3_27	-0.004515108	-1.18672612	-4.931910239	-993.506472	-10.58152403	-234.4064471
3_28	-0.003534537	-0.066873703	-4.999432231	-1662.6018	-3.5569505	-192.9245563
3_31	0.000505338	1.317607919	7.440658563	-1115.613998	-15.02482565	-194.8016524
3_32	0.000852313	-2.78140405	-6.526649764	-852.2500405	-11.15383964	-69.01539056
2_1	-0.00956932	-0.763544766	3.839742114	977.7749954	16.64021345	238.0393668
2_2	-0.008927924	-4.894804165	-1.420111885	-128.4688966	-11.7621107	271.0545002
2_3	-0.017901347	-2.344988076	4.256744888	-654.8676818	2.036175429	127.3745381
2_4	-0.016652007	1.862905142	10.59545582	1173.560959	-5.487239637	-148.1329042
2_5	-0.018405798	0.784226114	1.926942086	-57.83086058	-12.56927801	-57.0676902
2_6	0.002361809	-1.750495437	2.88435344	-26.37501048	-10.88196566	-122.6619911
2_7	0.004995656	-2.546442124	0.380175413	-1247.931236	-11.85263369	-197.1504909
2_8	0.002323435	-3.441664439	0.023569088	-659.7573999	-13.60822106	-45.68229981
2_9	0.021998716	-2.475613902	0.39723893	-1869.009637	-7.38109449	-169.5389992
2_10	-0.018060457	0.671017066	0.642343716	-474.1224714	6.527717078	-31.61321098
2_11	0.020212419	0.889307334	1.250398546	173.7542314	2.815625884	-64.24830824
2_12	-0.020880589	4.071932969	0.472905051	587.5229303	7.651698358	-98.62187655
2_14	0.011861299	-2.449827299	-0.734911736	-115.2852112	7.414364332	-139.9701819
2_15	-0.014691829	-1.438154576	9.284060479	-1585.411194	1.673694325	33.43060451
2_16	-0.017320524	1.014127564	11.27096646	-1279.875946	4.63243771	32.89537918
2_17	-0.014561051	-7.60369348	4.386779392	345.8605968	-2.795755724	76.68164519
2_18	-0.022629164	2.336641463	5.230220063	-1276.74632	-6.901063369	158.1372976
2_19	-0.012092738	-6.457669584	-2.099893288	910.787916	-1.004929429	-26.90095665
2_20	-0.012933979	-9.517816022	-2.974976591	-896.4788864	-8.298234237	-222.7401452
2_21	-0.022654844	0.735525699	0.425495502	-1902.421909	2.393502238	-62.22172985
2_22	0.007495763	0.366804035	0.848589696	-2381.592092	1.231109486	12.90066064
2_23	-0.032380081	-1.526980138	-3.145263091	-2202.234374	9.081472162	-102.7675332
2_24	-0.007396964	-1.793456818	1.523195692	15.23514204	3.125274228	-64.47592707
2_25	0.016072886	1.52269744	7.53999661	-1201.183962	-1.759374576	-225.3007069
2_26	-0.000655748	0.414990451	0.363362942	459.2653516	-6.235591035	-44.5817446
2_27	0.023199216	-0.522283366	0.449970542	764.8712098	9.413700815	-116.2575217
2_28	0.018663153	-1.400585591	-0.905430978	94.53471049	-6.445379479	2.504152149
2_29	-0.007684186	0.106243562	-3.483549366	1000.53864	-10.47590811	-173.086112
2_30	-0.004497449	1.657967737	-2.903215546	-775.598188	-5.481902056	49.2766397
6_1	-0.004497449	3.219869269	3.191321621	-232.045693	-1.666617437	-190.1370602
6_2	0.002616731	-0.936696726	2.348785737	37.09560391	-2.438831934	20.2183093
6_3	-0.001607922	-1.775204339	0.354354992	-704.4091989	7.936234004	10.97135699
6_4	0.013740132	0.168405565	-1.847831065	45.44631701	-11.21161811	22.15414893
6_5	-0.001805148	-0.743287207	-2.272219973	102.4787987	-1.878658895	96.02640006
6_6	0.000590404	-0.333034599	0.21887124	-949.7476515	2.618280358	58.6662982
6_7	-0.011278624	1.170297993	6.693581028	423.8093645	0.429031867	-79.24056999
6_8	-0.013130203	3.374681349	2.623699871	708.3341188	-2.466329385	-83.34447426
6_9	-0.004459187	-3.608865495	1.772118049	584.6572716	6.713963556	-107.7979501
6_10	-0.004789782	-2.09843551	-4.224161415	1217.768874	-3.293831317	17.53643404
