Taxa	trait1	trait2	trait3	trait4	trait5	trait6
19_15	0.009674279	5.126228511	5.005537416	-1436.689044	-6.760082085	50.31750787
19_16	0.007903278	3.464373151	0.448472619	127.5080366	4.089169769	-6.125562107
19_17	-0.002162628	-7.08037478	7.035549909	-843.5512038	0.534706085	194.0104277
19_18	0.017349219	-1.494347653	4.406062912	-942.2435763	6.6515393	68.64351524
19_19	0.001192644	-0.796246473	-1.211251836	-1197.984308	-1.644846521	-123.8355917
19_20	0.014312268	2.190340539	4.590332308	313.8452099	-0.141706015	127.4589512
19_21	0.00792384	3.794425663	-1.729750005	-1511.205415	-7.508955872	108.1797426
19_22	-0.010488036	4.545088731	-3.788034349	2133.556207	-3.626158562	-45.06936837
19_23	0.004287583	2.684396439	-1.567266559	-372.8314497	-9.394875356	-208.9933834
19_24	-0.005484168	-2.887810946	-2.997484023	-17.07081687	0.05762155	-144.0956467
19_25	-0.005394922	-0.365281139	-0.71454991	404.1639581	-4.398214671	-53.63119548
19_26	0.02155362	4.720998176	-4.714533455	975.0703304	7.2994693	38.87121244
19_27	-0.001204903	1.192939803	-0.9015295	-2058.747716	0.323247263	-64.21565854
19_28	0.001196646	1.64867879	-5.311621025	-1809.269843	6.165142567	65.23916575
19_29	-0.007197355	-1.453249118	-0.468927874	-973.7538489	-0.345862719	155.2905765
19_30	-0.000339128	0.595693973	5.743344431	-1061.926348	-8.955699757	6.497825444
19_31	0.001796476	1.251576284	2.566126626	292.6465862	3.834222734	-138.0151006
19_32	0.003270786	3.667435699	-1.636425874	336.4516211	-3.993981161	-200.1964143
18_1	-0.01571111	-2.516833606	1.545131321	-1271.073787	-5.383738743	437.0145819
18_2	-0.00753223	0.333131599	3.16805589	-272.4062471	-1.380995565	832.2873375
18_3	-0.010264833	-1.016668585	7.592216014	-787.4296225	7.009818697	-217.3868798
18_4	-0.014638409	0.658104019	0.076032589	-476.5628901	5.603519804	16.74402974
18_5	0.005719131	0.836301764	4.643450909	-1799.154676	2.337445927	187.5049002
18_6	-0.025908792	-7.232716139	7.907001151	-1349.68432	-2.901324182	54.22121686
18_7	-0.002954574	-3.651246319	-1.377143197	659.8456438	-2.829645387	-107.7253882
18_8	-0.013028767	5.262659926	2.223855869	-946.298047	-4.822169979	-170.2557725
18_9	0.004723057	1.303826614	-2.697209985	-1433.640721	-12.95058272	-189.8924066
18_10	-0.023226252	5.098942228	-1.0982955	-1669.886635	-10.42083965	68.27907583
18_11	-0.007568735	0.724403713	-2.901657001	-924.472184	-1.301647832	-162.0917895
18_12	-0.002200965	3.443187335	13.56502298	15569.10753	0.741530835	200.1091538
18_13	-0.014041218	2.297163437	8.948141398	-5.108869318	-4.710544309	-63.87886018
18_14	-0.015911895	0.392929201	1.278599164	1645.195576	10.15612242	142.5808358
18_15	-0.01925989	-1.291273096	7.036609047	4689.129082	2.254075743	345.5574963
18_16	-0.009648328	-4.873623639	-3.882931568	490.7203811	8.051357636	-150.5187868
18_17	0.002667411	3.221031738	4.002558925	-1237.08327	-6.580490234	-129.7590424
18_18	0.001784634	-2.249558454	-4.680427605	4676.644556	-4.217809487	129.8382165
18_19	0.011109957	0.884662859	-1.020818813	1411.434691	3.10522315	-128.026236
18_20	-0.027684139	-5.178697625	-4.06979872	499.1826427	-3.891260352	-215.9047059
18_21	0.000347965	-0.391406304	0.017901453	-1990.980643	-7.969926287	37.17158755
